S.No,State/UT,Mar20_Total,Mar20_Operative,Mar21_Total,Mar21_Operative,Mar22_Total,Mar22_Operative,Mar23_Total,Mar23_Operative,Mar24_Total,Mar24_Operative,Jan25_Total,Jan25_Operative,Mar20_Op_Rate,Mar21_Op_Rate,Mar22_Op_Rate,Mar23_Op_Rate,Mar24_Op_Rate,Jan25_Op_Rate,CAGR_2020_25,Growth_2024_25,Growth_Mar20_Mar21,Growth_Mar21_Mar22,Growth_Mar22_Mar23,Growth_Mar23_Mar24,Growth_Mar24_Jan25,State_Name_Std,Rural_Beneficiaries,Urban_Beneficiaries,Total_Beneficiaries,Balance_Rupees,RuPay_Cards,Rural_Percent,RuPay_Penetration,Avg_Balance_Rs,Rural_Urban_Ratio,Population,Households,Literacy_Rate,Rural_HH_Percent,Internet_Penetration,Phone_Penetration,Account_Density_Per_Lakh,High_Operative_Flag,High_Growth_Flag,High_RuPay_Flag,High_Balance_Flag,Rural_Dominated_Flag,Operative_Mean,Operative_Std,Operative_Trend
23,Meghalaya,478000,365000,593000,524000,619000,499000,670000,591000,775000,630000,827000,651000,76.36,88.36,80.61,88.21,81.29,78.72,12.02,6.71,24.06,4.38,8.24,15.67,6.71,MEGHALAYA,778281.0,89207.0,867488.0,4759900000.0,523299.0,89.72,60.32,5486.99,8.724,2966889.0,721467.0,60.16,76.73,1.12,32.07,29238.98,1,0,0,1,1,82.26,4.97,-0.052
24,Mizoram,311000,207000,321000,175000,315000,164000,329000,276000,382000,323000,407000,353000,66.56,54.52,52.06,83.89,84.55,86.73,5.73,6.54,3.22,-1.87,4.44,16.11,6.54,MIZORAM,248890.0,169798.0,418688.0,2073800000.0,190660.0,59.45,45.54,4953.09,1.466,1097206.0,269431.0,77.3,45.78,2.08,59.66,38159.47,1,0,0,1,0,71.39,15.79,6.365
25,Nagaland,308000,248000,328000,283000,345000,295000,367000,296000,392000,322000,407000,330000,80.52,86.28,85.51,80.65,82.14,81.08,5.94,3.83,6.49,5.18,6.38,6.81,3.83,NAGALAND,194912.0,214785.0,409697.0,1427200000.0,308634.0,47.57,75.33,3483.55,0.907,1978502.0,534424.0,67.85,67.43,1.3,39.71,20707.43,1,0,1,0,0,82.7,2.55,-0.414
26,Odisha,15736000,12944000,17317000,15163000,18541000,16161000,19985000,16514000,21318000,17691000,22711000,19106000,82.26,87.56,87.16,82.63,82.99,84.13,7.89,6.53,10.05,7.07,7.79,6.67,6.53,ODISHA,18236245.0,4965055.0,23201300.0,113180500000.0,16582518.0,78.6,71.47,4878.2,3.673,,,,,,,,1,0,1,1,1,84.46,2.34,-0.254
27,Puducherry,159000,134000,165000,144000,164000,144000,189000,159000,215000,182000,242000,206000,84.28,87.27,87.8,84.13,84.65,85.12,9.09,12.56,3.77,-0.61,15.24,13.76,12.56,PUDUCHERRY,133017.0,127206.0,260223.0,1195800000.0,164247.0,51.12,63.12,4595.29,1.046,,,,,,,,1,0,0,1,0,85.54,1.59,-0.209
28,Punjab,6950000,5465000,7333000,6179000,7734000,6435000,8452000,6726000,9078000,7028000,9450000,7057000,78.63,84.26,83.2,79.58,77.42,74.68,6.57,4.1,5.51,5.47,9.28,7.41,4.1,PUNJAB,5369690.0,4167250.0,9536940.0,45206899999.99999,6857557.0,56.3,71.91,4740.19,1.289,27743338.0,7847447.0,67.43,59.49,3.72,56.61,34375.6,0,0,1,1,0,79.63,3.59,-1.254
29,Rajasthan,26901000,22411000,29281000,26025000,31377000,27778000,33321000,27922000,35175000,28962000,36564000,29685000,83.31,88.88,88.53,83.8,82.34,81.19,6.56,3.95,8.85,7.16,6.2,5.56,3.95,RAJASTHAN,23961632.0,13234244.0,37195876.0,208342200000.0,27644683.0,64.42,74.32,5601.22,1.811,68548437.0,18070963.0,55.84,73.58,1.25,49.15,54262.18,1,0,1,1,0,84.68,3.25,-0.999
30,Sikkim,93000,63000,87000,66000,86000,62000,88000,58000,90000,61000,94000,65000,67.74,75.86,72.09,65.91,67.78,69.15,0.22,4.44,-6.45,-1.15,2.33,2.27,4.44,SIKKIM,65725.0,29964.0,95689.0,557600000.0,67900.0,68.69,70.96,5827.21,2.193,610577.0,169022.0,72.87,68.27,2.53,55.31,15671.9,0,0,1,1,0,69.76,3.63,-0.668
31,Tamil Nadu,10713000,8322000,11153000,9435000,11595000,9319000,13773000,10259000,15404000,12049000,16803000,13181000,77.68,84.6,80.37,74.49,78.22,78.44,9.77,9.08,4.11,3.96,18.78,11.84,9.08,TAMIL NADU,9225774.0,8449947.0,17675721.0,62892100000.0,12802912.0,52.19,72.43,3558.11,1.092,72147030.0,23166721.0,71.85,51.53,3.33,59.79,24499.58,1,0,1,0,0,78.97,3.35,-0.606
32,Telangana,9653000,7166000,10379000,9085000,10435000,8578000,11105000,8442000,11787000,9252000,12376000,9567000,74.24,87.53,82.2,76.02,78.49,77.3,5.28,5.0,7.52,0.54,6.42,6.14,5.0,TELANGANA,7412630.0,5420026.0,12832656.0,54436500000.0,8845827.0,57.76,68.93,4242.03,1.368,,,,,,,,1,0,0,1,0,79.3,4.84,-0.514
33,Tripura,889000,834000,911000,873000,855000,817000,956000,845000,1029000,874000,1105000,949000,93.81,95.83,95.56,88.39,84.94,85.88,4.61,7.39,2.47,-6.15,11.81,7.64,7.39,TRIPURA,897070.0,229903.0,1126973.0,6397400000.0,606302.0,79.6,53.8,5676.62,3.902,3673917.0,1066863.0,76.34,70.18,0.81,37.97,30674.97,1,0,0,1,1,90.74,4.93,-2.271
34,Uttar Pradesh,61331000,47504000,71335000,59323000,79269000,65922000,86699000,67962000,92520000,72466000,97342000,73390000,77.46,83.16,83.16,78.39,78.32,75.39,10.04,5.21,16.31,11.12,9.37,6.71,5.21,UTTAR PRADESH,72317012.0,27112922.0,99429934.0,534949300000.0,67395357.0,72.73,67.78,5380.16,2.667,199812341.0,45172443.0,57.25,76.87,1.35,48.78,49761.66,1,0,0,1,1,79.31,3.17,-0.847
35,Uttarakhand,2569000,2047000,2729000,2311000,2906000,2399000,3250000,2609000,3587000,2769000,3808000,2887000,79.68,84.68,82.55,80.28,77.2,75.81,8.49,6.16,6.23,6.49,11.84,10.37,6.16,UTTARAKHAND,2610701.0,1292759.0,3903460.0,26664899999.999996,2636025.0,66.88,67.53,6831.09,2.019,10086292.0,3383410.0,68.22,74.26,1.86,44.03,38700.64,1,0,0,1,0,80.03,3.29,-1.259
36,West Bengal,36646000,32273000,40397000,36834000,44599000,41040000,47956000,43101000,50950000,43817000,53429000,45343000,88.07,91.18,92.02,89.88,86.0,84.87,8.12,4.87,10.24,10.4,7.53,6.24,4.87,WEST BENGAL,40011099.0,14018976.0,54030075.0,256500700000.0,35044425.0,74.05,64.86,4747.37,2.854,91276115.0,25343715.0,67.42,66.89,1.75,38.98,59194.1,1,0,0,1,1,88.67,2.86,-0.962
